"Tm","PlayerName","Age","States","Salary"
"ATL","John Collins",23,"Georgia",2.3e+07
"ATL","Cam Reddish",21,"Georgia",4670160
"ATL","De'Andre Hunter",23,"Georgia",7775400
"ATL","Clint Capela",26,"Georgia",17103448
"ATL","Kevin Huerter",22,"Georgia",4253357
"ATL","Bruno Fernando",22,"Georgia",1782621
"ATL","Kris Dunn",26,"Georgia",5005350
"ATL","Danilo Gallinari",32,"Georgia",20475000
"ATL","Trae Young",22,"Georgia",8326471
"ATL","Tony Snell",29,"Georgia",2389641
"ATL","Solomon Hill",29,"Georgia",2389641
"BOS","Tacko Fall",25,"Massachusetts",1669178
"BOS","Tristan Thompson",29,"Massachusetts",9720900
"BOS","Marcus Smart",26,"Massachusetts",14339285
"BOS","Semi Ojeleye",26,"Massachusetts",1789256
"BOS","Grant Williams",22,"Massachusetts",2617800
"BOS","Tremont Waters",23,"Massachusetts",1669178
"BOS","Jaylen Brown",24,"Massachusetts",24830357
"BOS","Jayson Tatum",22,"Massachusetts",28103550
"BOS","Kemba Walker",30,"Massachusetts",8729020
"BOS","Romeo Langford",21,"Massachusetts",3804360
"BRK","Joe Harris",29,"New York",17357143
"BRK","Landry Shamet",23,"New York",3768342
"BRK","Kevin Durant",32,"New York",40918900
"BRK","Alize Johnson",24,"New York",1729217
"BRK","Nicolas Claxton",21,"New York",1782621
"BRK","Kyrie Irving",28,"New York",34916200
"BRK","Bruce Brown",24,"New York",4736102
"BRK","Jeff Green",34,"New York",4500000
"BRK","Spencer Dinwiddie",27,"New York",17142857
"BRK","DeAndre Jordan",32,"New York",2641691
"CHI","Garrett Temple",34,"Illinois",4910000
"CHI","Coby White",20,"Illinois",5837760
"CHI","Zach LaVine",25,"Illinois",19500000
"CHI","Lauri Markkanen",23,"Illinois",15690909
"CHI","Ryan Arcidiacono",26,"Illinois",4789256
"CHI","Thaddeus Young",32,"Illinois",14190000
"CHI","Denzel Valentine",27,"Illinois",1789256
"CHO","Cody Zeller",28,"North Carolina",2389641
"CHO","Malik Monk",22,"North Carolina",1789256
"CHO","Gordon Hayward",30,"North Carolina",29900000
"CHO","Miles Bridges",22,"North Carolina",5421493
"CHO","P.J. Washington",22,"North Carolina",4215120
"CHO","Devonte' Graham",25,"North Carolina",1.1e+07
"CHO","Jalen McDaniels",23,"North Carolina",1782621
"CHO","Terry Rozier",26,"North Carolina",17905263
"CHO","Cody Martin",25,"North Carolina",1782621
"CLE","Cedi Osman",25,"Ohio",8050000
"CLE","Dean Wade",24,"Ohio",1782621
"CLE","Dante Exum",25,"Ohio",2500000
"CLE","Larry Nance Jr.",28,"Ohio",10690909
"CLE","Dylan Windler",24,"Ohio",2239200
"CLE","Darius Garland",21,"Ohio",7040880
"CLE","Kevin Love",32,"Ohio",31300000
"CLE","Collin Sexton",22,"Ohio",6349671
"DAL","Josh Richardson",27,"Texas",11600000
"DAL","Willie Cauley-Stein",27,"Texas",4200000
"DAL","Dwight Powell",29,"Texas",1.1e+07
"DAL","Maxi Kleber",29,"Texas",8750000
"DAL","Tim Hardaway Jr.",28,"Texas",21306816
"DAL","Dorian Finney-Smith",27,"Texas",4e+06
"DAL","Jalen Brunson",24,"Texas",1802057
"DEN","Bol Bol",21,"Colorado",2161152
"DEN","Nikola Jokióö",25,"Colorado",30510423
"DEN","JaMychal Green",30,"Colorado",15852431
"DEN","Michael Porter Jr.",22,"Colorado",5258735
"DEN","Monte Morris",25,"Colorado",8333333
"DEN","Paul Millsap",35,"Colorado",2641691
"DEN","Will Barton",30,"Colorado",30264615
"DEN","Jamal Murray",23,"Colorado",31590000
"DET","Rodney McGruder",29,"Michigan",1939350
"DET","Josh Jackson",23,"Michigan",5005350
"DET","Sekou Doumbouya",20,"Michigan",0
"DET","Jerami Grant",26,"Michigan",2e+07
"DET","Mason Plumlee",30,"Michigan",8137500
"DET","Frank Jackson",22,"Michigan",3e+06
"DET","Wayne Ellington",33,"Michigan",2641691
"GSW","Kelly Oubre Jr.",25,"California",1.2e+07
"GSW","Gary Payton II",28,"California",1977011
"GSW","Draymond Green",30,"California",24026712
"GSW","Mychal Mulder",26,"California",1782621
"GSW","Damion Lee",28,"California",1910860
"GSW","Kevon Looney",24,"California",5178572
"GSW","Jordan Poole",21,"California",2161440
"GSW","Kent Bazemore",31,"California",2401537
"GSW","Eric Paschall",24,"California",1782621
"GSW","Marquese Chriss",23,"California",1789256
"GSW","Andrew Wiggins",25,"California",31579390
"GSW","Juan Toscano-Anderson",27,"California",1701593
"GSW","Stephen Curry",32,"California",45780966
"HOU","Sterling Brown",25,"Texas",3e+06
"HOU","Eric Gordon",32,"Texas",18218818
"HOU","Christian Wood",25,"Texas",13666667
"HOU","John Wall",30,"Texas",44310840
"HOU","Kevin Porter Jr.",20,"Texas",2130240
"IND","T.J. McConnell",28,"Indiana",7500000
"IND","Jeremy Lamb",28,"Indiana",10500000
"IND","Myles Turner",24,"Indiana",1.8e+07
"IND","Malcolm Brogdon",28,"Indiana",21700000
"IND","T.J. Warren",27,"Indiana",12690000
"IND","Justin Holiday",31,"Indiana",6006420
"IND","Kelan Martin",25,"Indiana",1701593
"IND","Doug McDermott",29,"Indiana",13750000
"IND","Domantas Sabonis",24,"Indiana",18562500
"IND","Aaron Holiday",24,"Indiana",3980551
"IND","Oshae Brissett",22,"Indiana",1701593
"IND","Goga Bitadze",21,"Indiana",3098400
"LAC","Ivica Zubac",23,"California",7518518
"LAC","Luke Kennard",24,"California",12727273
"LAC","Serge Ibaka",31,"California",9742000
"LAC","Terance Mann",24,"California",1782621
"LAC","Reggie Jackson",30,"California",10384500
"LAC","Paul George",30,"California",39344970
"LAC","Kawhi Leonard",29,"California",39344900
"LAC","Nicolas Batum",32,"California",12213507
"LAC","Patrick Patterson",31,"California",3378757
"LAC","Patrick Beverley",32,"California",14320988
"LAL","Talen Horton-Tucker",20,"California",9500000
"LAL","Kentavious Caldwell-Pope",27,"California",13038862
"LAL","Devontae Cacok",24,"California",1669178
"LAL","Anthony Davis",27,"California",35361360
"LAL","LeBron James",36,"California",41180544
"LAL","Markieff Morris",31,"California",2641691
"LAL","Kyle Kuzma",25,"California",1.3e+07
"LAL","Montrezl Harrell",27,"California",9720900
