"States","Age","Mean_Salary"
"Arizona",22,12632950
"Arizona",24,5557725
"Arizona",25,3833333
"Arizona",27,2044724
"Arizona",30,9720900
"Arizona",31,2641691
"Arizona",35,30800000
"California",20,9500000
"California",21,6736777
"California",23,1789256
"California",24,1782621
"California",25,1.3e+07
"California",26,5193636
"California",27,10384500
"California",28,11130551
"California",29,39344900
"California",30,24026712
"California",31,2641691
"California",32,14320988
"California",36,41180544
"CANADA",21,6045295.5
"CANADA",22,5200000
"CANADA",23,2580013.5
"CANADA",24,1729217
"CANADA",25,2283034
"CANADA",26,15057692
"CANADA",27,2395589
"CANADA",28,6679807.5
"CANADA",29,8552561
"CANADA",30,8558441
"CANADA",31,18202908.5
"CANADA",32,7767284
"CANADA",33,5e+06
"CANADA",34,4500000
"CANADA",35,4820845.5
"Colorado",21,2161152
"Colorado",22,5258735
"Colorado",23,31590000
"Colorado",25,19421878
"Colorado",30,23058523
"Colorado",35,2641691
"Florida",21,2893450.5
"Florida",22,12034371
"Florida",23,28103550
"Florida",24,1669178
"Florida",25,3394628
"Florida",26,15560000
"Florida",27,1789256
"Florida",29,7750000
"Florida",31,20636254
"Florida",35,2641691
"Florida",37,17641691
"Florida",40,2641691
"Georgia",21,4670160
"Georgia",22,4253357
"Georgia",23,15387700
"Georgia",26,11054399
"Georgia",29,2389641
"Georgia",32,20475000
"Illinois",20,5837760
"Illinois",23,15690909
"Illinois",25,19500000
"Illinois",26,4789256
"Illinois",27,1789256
"Illinois",32,14190000
"Illinois",34,4910000
"Indiana",21,3098400
"Indiana",22,1701593
"Indiana",24,1.8e+07
"Indiana",25,1701593
"Indiana",27,12690000
"Indiana",28,10500000
"Indiana",29,13750000
"Indiana",31,6006420
"Louisiana",20,8040840
"Louisiana",22,3261480
"Louisiana",23,24617621
"Louisiana",25,1.2e+07
"Louisiana",27,17073171
"Louisiana",31,18125000
"Massachusetts",21,3804360
"Massachusetts",22,15360675
"Massachusetts",23,1669178
"Massachusetts",24,24830357
"Massachusetts",25,1669178
"Massachusetts",26,8064270.5
"Massachusetts",29,9720900
"Massachusetts",30,8729020
"Michigan",20,0
"Michigan",22,3e+06
"Michigan",23,5005350
"Michigan",26,2e+07
"Michigan",29,1939350
"Michigan",30,8137500
"Michigan",33,2641691
"Minnesota",21,3020940
"Minnesota",22,4087904
"Minnesota",24,14391964
"Minnesota",25,31610000
"Minnesota",26,3940184
"Minnesota",30,17809524
"New York",20,8623920
"New York",21,1782621
"New York",22,1795656.5
"New York",23,3768342
"New York",24,3232659.5
"New York",25,1729217
"New York",26,8800000
"New York",27,17142857
"New York",28,34916200
"New York",29,9536000
"New York",32,21780295.5
"New York",34,4500000
"New York",35,4910000
"North Carolina",22,4215120
"North Carolina",23,1782621
"North Carolina",25,6391310.5
"North Carolina",26,17905263
"North Carolina",28,2389641
"North Carolina",30,29900000
"Ohio",21,7040880
"Ohio",22,6349671
"Ohio",24,2010910.5
"Ohio",25,5275000
"Ohio",28,10690909
"Ohio",32,31300000
"Oklahoma",20,2513040
"Oklahoma",21,1742107
"Oklahoma",22,3639076.5
"Oklahoma",23,2412840
"Oklahoma",26,2e+06
"Oklahoma",29,3500000
"Oklahoma",34,2.7e+07
"Oregon",20,2316240
"Oregon",21,3938818
"Oregon",23,9731707
"Oregon",28,2641691
"Oregon",29,30864198
"Oregon",30,28362735.5
"Oregon",36,2641691
"Pennsylvania",23,3734895
"Pennsylvania",24,16718369
"Pennsylvania",26,31579390
"Pennsylvania",28,3.6e+07
"Pennsylvania",30,8186047
"Pennsylvania",33,1e+07
"Pennsylvania",35,2641691
"Tennessee",21,9391960
"Tennessee",22,8437500
"Tennessee",24,5124540
"Tennessee",25,8127347.5
"Tennessee",27,9937150
"Texas",20,2130240
"Texas",21,2145720
"Texas",23,1762796
"Texas",24,1802057
"Texas",25,3e+06
"Texas",26,15178571
"Texas",27,4200000
"Texas",28,21306816
"Texas",29,9875000
"Texas",30,44310840
"Texas",31,26984127
"Texas",32,12054409
"Texas",34,5890000
"Utah",23,1782621
"Utah",24,28103550
"Utah",27,5989285.5
"Utah",28,23882414
"Utah",29,9720900
"Utah",33,17500000
"Washington DC",21,1729217
"Washington DC",22,4916160
"Washington DC",23,8730159
"Washington DC",24,1669178
"Washington DC",27,34502130
"Washington DC",28,9044724
"Washington DC",32,5e+06
"Wisconsin",24,4675830
"Wisconsin",25,8151750
"Wisconsin",26,39344970
"Wisconsin",27,4500000
"Wisconsin",28,3531275
"Wisconsin",29,35500000
"Wisconsin",30,30133333
"Wisconsin",32,13302325
